day,left_side,right_side,price_l,price_r,ratio,euclidian,correl_t1,correl_t2,correl_t3,beta_t1,interc_t1,pvalue_t1,half_t1,sprd_last_t1,sprd_mean_t1,sprd_sd_t1,beta_t2,interc_t2,pvalue_t2,half_t2,sprd_last_t2,sprd_mean_t2,sprd_sd_t2,beta_t3,interc_t3,pvalue_t3,half_t3,sprd_last_t3,sprd_mean_t3,sprd_sd_t3,econ_rel,MCap_Classe,Setor,Subsetor,Segmento,Diffs
2019-11-29,ROMI3,YDUQ3,9.553196,40.971485,4.2887725741207445,5.041797930633892,0.8399404149808057,0.5417617812946053,0.40179814231297284,0.30131332059464727,-1.2750808739623856,0.5217334771795005,35.896362806733535,-1.5169773210814004,-1.3677427246339136e-17,0.8751893620082591,0.152639983842797,3.953473222900592,0.4719047417786906,52.14599842575019,-0.654164031315995,-1.711174604790422e-17,0.8358494414489278,0.056029847325682954,7.213570093592229,0.34528272076906813,8.171540841232284,0.04399985715126038,3.601109753274822e-18,0.28545504605722266,0,Diff,Diff,Diff,Diff,4
2019-12-02,ROMI3,YDUQ3,9.64832,40.092354,4.155371505091042,5.077479404554863,0.8384195316094003,0.5311075505499214,0.42464041034428945,0.29825748393927465,-1.1874183081534917,0.4512579963186506,38.321896037083526,-1.1221063210892255,-5.6239735091168086e-18,0.8775516951161433,0.14555765643941457,4.1960666969812985,0.41599668856757266,55.3358570390853,-0.3834957863606916,4.769036728025089e-17,0.8253794151711015,0.059331763216688004,7.09550366344594,0.36024466080570594,8.072214125317696,0.17406628222642367,1.1619394682527151e-17,0.2864822307061693,0,Diff,Diff,Diff,Diff,4
2019-12-03,ROMI3,YDUQ3,9.614347,41.116402,4.276567300930578,5.137254082405278,0.836318993314825,0.5170361672931074,0.43660154877166146,0.2943031997351707,-1.0737624351093145,0.49916355457811035,38.693916322009954,-1.4125792350882658,-8.78247127800158e-17,0.8813950178237786,0.13702280636773764,4.4870013549567265,0.460788723273292,50.172787383742566,-0.5065391447407886,5.60519512748936e-17,0.8142578881448983,0.06001550026163516,7.073158288634407,0.35125702626800337,8.213774580594503,0.07356727637709595,-2.9216538043053132e-18,0.28657125166410197,0,Diff,Diff,Diff,Diff,4
2019-12-04,ROMI3,YDUQ3,9.682293,40.575394,4.190680244855222,5.166411782779183,0.8352593464732205,0.5010997408469143,0.44642868368699357,0.29087601782089095,-0.9729913914219895,0.47219628557334814,39.964921420372264,-1.1471246368116885,5.531165803152049e-18,0.8823751688505624,0.12941341406132428,4.748468879672895,0.39014237951308495,54.70477993589426,-0.3171761440962735,-5.010184975229315e-17,0.8045109463323431,0.0609297738883373,7.045884595846804,0.2600691655108077,11.506840689523218,0.16415882230299453,-2.3985804661896813e-17,0.2868178160710341,0,Diff,Diff,Diff,Diff,4
2019-12-05,ROMI3,YDUQ3,9.634729,40.430477,4.196327369456889,5.205321861407153,0.8338288789541582,0.4915560762938086,0.49976285514813684,0.28771476074529084,-0.8806275039505826,0.4790692350056781,40.543317972834146,-1.1170885129224088,5.686076609556778e-17,0.8840282356572396,0.12321182490579574,4.9651036728700255,0.34789944257850913,55.421588669971996,-0.3118875258518308,-5.859939269936554e-17,0.7923488801631919,0.06759178689760531,6.792283610855937,0.4556521370715493,10.751963784771986,0.10967720359152894,-4.677790273188709e-18,0.2777606135521375,0,Diff,Diff,Diff,Diff,4
2019-12-06,ROMI3,YDUQ3,9.593961,42.642803,4.444754674320648,5.42804338304858,0.8307702363105973,0.4801248916091147,0.514249271016207,0.28279193400737385,-0.7383322305339655,0.6140371747725728,37.15196596264154,-1.7267475013314826,7.81085265910697e-17,0.8899747305235176,0.11539505933125843,5.234737822947235,0.32949653227957365,52.04965441778819,-0.5615456051834018,-2.054996797729025e-17,0.7801943015562269,0.06754160907937369,6.789884436947447,0.12097838529426591,17.841974326959004,-0.07608696722219246,-3.7758424858980176e-17,0.2773212325310177,0,Diff,Diff,Diff,Diff,4
2019-12-09,ROMI3,YDUQ3,9.614347,41.010128,4.265513612104909,5.46102160197142,0.8290259848275334,0.4692589687841991,0.5791173369379747,0.279826563549341,-0.6530975719691104,0.5100141044327459,40.20265475798458,-1.2082786169895035,6.359236054409578e-17,0.8929922063014583,0.10903160300846937,5.4587488889813836,0.261514294476845,54.503398526134916,-0.31580188440389867,-1.6418724019251486e-17,0.7661635163526451,0.0744863798594147,6.519415152844972,0.14642637916672124,13.087223277890423,0.040235874863809376,2.3571165093556888e-17,0.26089205493489886,0,Diff,Diff,Diff,Diff,4
2019-12-10,ROMI3,YDUQ3,10.497643,40.913517,3.8974003021440145,5.461902815775443,0.8299467156897534,0.4680958964687063,0.6261531417284527,0.2788293407526106,-0.622963231764147,0.37478199636068554,41.487505054850615,-0.2872827412165826,-8.622128618712699e-17,0.8928825536726477,0.10596687648250123,5.580319285894094,0.21005684069631395,47.2952921087818,0.58184611170219,-7.917624889053343e-17,0.751924615976377,0.0900960043679317,5.9445243341241945,0.3819366748500008,5.4697497115662514,0.8669742595363569,2.3271315430228866e-17,0.2810854184641366,0,Diff,Diff,Diff,Diff,4
2019-12-11,ROMI3,YDUQ3,10.198681,42.65247,4.182155515992705,5.491250550895037,0.829447356617423,0.46768176374184983,0.6732622104143279,0.27608717216591666,-0.5434666039632889,0.44656732442228253,38.763027993072605,-1.0336522242283108,5.247104833960847e-18,0.8950722243494953,0.10155265833174583,5.744996116281449,0.10922366524844812,46.05572865945032,0.12221317080351052,-8.989391262620439e-17,0.7330998187922767,0.09928903299295112,5.600904367043841,0.0314516105396211,6.50514401925427,0.3628541318953021,3.122502256758253e-17,0.2820405849240937,0,Diff,Diff,Diff,Diff,4
2019-12-12,ROMI3,YDUQ3,10.21227,43.483295,4.257946078589774,5.772185004748654,0.8283853206507749,0.464649119767428,0.7269972858228143,0.27291191555946553,-0.4517136816911668,0.48327335270177374,38.76492776755613,-1.2031256515961652,2.951892202895934e-17,0.8982489094003456,0.09634702611641079,5.9367300985102665,0.09097795511208973,42.95395558223733,0.08605374249713771,-6.559905613504058e-17,0.7134706722285833,0.10920741100188945,5.222968640185495,0.01,6.308448127707022,0.24060329103310094,4.4092333950640495e-17,0.27538820622753063,0,Diff,Diff,Diff,Diff,4
2019-12-13,ROMI3,YDUQ3,10.239449,45.599014,4.4532683350442,6.898938105765363,0.8258020128351017,0.45949677650181525,0.7878851040004392,0.26800640865279346,-0.30905154741084684,0.5828528429824161,37.306174832705466,-1.6723274328376068,-4.447744256230735e-17,0.9044441947556718,0.090076533379621307,6.164034907280825,0.09564796573223407,37.952359704158944,-0.03198701392964462,1.3163840677232753e-18,0.6939517171331103,0.11838974260454488,4.86243719521982,0.01,5.3066255425202655,-0.021443725700857168,-1.9593735542475927e-17,0.25896767194934445,0,Diff,Diff,Diff,Diff,4
2019-12-16,ROMI3,YDUQ3,10.21227,45.743923,4.479309986907906,7.0168845342728705,0.8231347979874692,0.4531234855482648,0.8143863552700198,0.2630239877366629,-0.16274144852692674,0.6007971112541662,38.297930349186665,-1.6567375936519269,9.062282174676639e-17,0.9100451072346543,0.08433277395447517,6.373302416753615,0.06880232937671499,37.34073451369443,-0.018744334903531834,2.108073915083053e-17,0.6767606912451755,0.12160397485805116,4.730819185056028,0.010168234297157352,4.973070982743734,-0.08119204745665602,-6.21375238589461e-17,0.25332585627168475,0,Diff,Diff,Diff,Diff,4
